This file was created by using the 202604 CRSP database.
It contains value-weighted returns for the intersections of  2 ME portfolios
and  3 BE/ME portfolios. 

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME at the end of December of the prior year.

Missing data are indicated by -99.99 or -999.

The break points use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Transportation, Utilities, and Financials Manuals.

The  portfolios  use Compustat firms plus the firms hand-collected from the
Moodys Industrial, Transportation, Utilities, and Financials Manuals.


  Average Value Weighted Returns -- Daily
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
20120405,  -0.07,  -0.23,   0.01,  -0.04,  -0.42,  -0.46
20120409,  -2.03,  -1.79,  -1.32,  -1.42,  -1.41,  -1.50
20120410,  -2.24,  -1.99,  -1.52,  -2.13,  -2.12,  -2.22
20120411,   1.79,   1.72,   1.42,   1.12,   0.89,   1.10
20120412,   1.44,   1.36,   0.97,   1.71,   1.97,   1.75
20120413,  -1.50,  -1.35,  -1.07,  -1.08,  -1.29,  -1.65
20120416,  -0.10,   0.34,   0.47,  -0.33,  -0.13,   0.23
20120417,   1.33,   1.25,   1.11,   1.63,   1.65,   1.39
20120418,  -1.12,  -1.07,  -0.66,  -0.20,  -0.56,  -0.86
20120419,  -0.43,  -0.36,  -0.41,   0.00,  -0.42,  -0.29
20120420,   0.56,   0.48,   0.68,  -0.08,   0.19,   0.26
20120423,  -1.37,  -1.20,  -0.85,  -1.22,  -0.92,  -0.93
20120424,   0.67,   1.08,   0.98,  -0.21,   0.32,   0.87
20120425,   1.53,   1.25,   0.77,   1.68,   1.52,   1.13
20120426,   0.70,   0.56,   0.48,   0.75,   0.89,   0.83
20120427,   0.71,   0.90,   0.63,   0.43,   0.30,   0.38
20120430,  -0.62,  -1.02,  -0.58,  -0.48,  -0.45,  -0.54
20120501,  -0.43,  -0.23,   0.05,   0.50,   0.53,   0.84
20120502,   0.33,   0.23,   0.25,   0.02,  -0.31,  -0.51
20120503,  -1.60,  -1.53,  -0.85,  -1.29,  -1.34,  -0.99
20120504,  -1.79,  -1.81,  -1.25,  -1.81,  -1.60,  -1.34
20120507,   0.03,   0.52,   0.43,  -0.13,  -0.01,   0.13
20120508,  -0.23,  -0.03,  -0.10,  -0.71,  -0.48,  -0.40
20120509,  -0.53,  -0.50,  -0.38,  -0.41,  -0.47,  -0.41
20120510,   0.27,   0.26,   0.54,  -0.17,   0.23,   0.50
20120511,  -0.05,  -0.55,  -0.50,   0.06,  -0.23,  -0.45
20120514,  -1.41,  -1.41,  -0.93,  -1.23,  -1.20,  -1.25
20120515,  -0.65,  -0.47,  -0.22,  -0.60,  -1.02,  -0.78
20120516,  -1.09,  -0.89,  -0.85,  -0.62,  -0.81,  -1.00
20120517,  -2.13,  -1.76,  -1.44,  -2.42,  -2.17,  -1.85
20120518,  -1.37,  -0.92,  -0.65,  -1.17,  -0.91,  -0.95
20120521,   2.74,   1.80,   1.12,   2.52,   2.20,   1.61
20120522,  -0.89,  -0.93,  -0.67,   0.12,  -0.01,   0.32
20120523,   0.88,   0.45,   0.10,   0.44,   0.53,   0.26
20120524,   0.46,   0.17,   0.22,  -0.12,   0.21,   0.26
20120525,   0.30,   0.12,   0.03,   0.01,   0.07,   0.17
20120529,   1.29,   1.16,   0.86,   1.39,   1.56,   1.22
20120530,  -1.74,  -1.60,  -0.91,  -1.82,  -2.04,  -1.99
20120531,  -0.05,   0.07,   0.18,  -0.70,  -0.48,   0.05
20120601,  -2.82,  -2.48,  -2.01,  -2.97,  -3.04,  -2.92
20120604,   0.16,   0.06,  -0.14,  -0.18,  -0.59,  -0.55
20120605,   1.26,   0.56,   0.56,   1.20,   1.16,   1.18
20120606,   2.28,   2.50,   1.79,   2.27,   2.50,   2.64
20120607,  -0.64,  -0.30,  -0.10,  -0.46,  -0.28,  -0.07
20120608,   0.97,   0.91,   0.57,   0.68,   0.72,   0.90
20120611,  -1.86,  -1.92,  -1.46,  -1.88,  -1.79,  -1.87
20120612,   1.17,   1.19,   0.75,   1.20,   1.19,   1.10
20120613,  -1.04,  -1.21,  -0.57,  -1.24,  -1.27,  -0.95
20120614,   1.28,   1.00,   1.57,   0.69,   0.92,   0.92
20120615,   1.16,   1.18,   0.97,   1.36,   1.07,   1.07
20120618,   0.04,   0.05,  -0.34,   0.62,   0.20,   0.14
20120619,   1.57,   1.60,   1.39,   1.40,   1.30,   1.45
20120620,   0.06,  -0.25,  -0.05,  -0.11,  -0.25,  -0.11
20120621,  -2.18,  -2.31,  -1.50,  -2.86,  -2.73,  -2.31
20120622,   1.54,   1.06,   1.04,   0.79,   0.64,   0.82
20120625,  -1.36,  -1.22,  -0.80,  -1.97,  -1.90,  -1.89
20120626,   0.26,   0.22,   0.23,   0.44,   0.58,   0.66
20120627,   1.08,   1.43,   1.11,   0.86,   1.36,   1.40
20120628,  -0.51,  -0.01,  -0.37,  -0.26,   0.31,   0.34
20120629,   2.81,   2.89,   1.96,   3.14,   2.92,   2.33
20120702,   1.33,   0.82,   0.67,   0.48,   0.27,   0.49
20120703,   1.37,   1.37,   1.19,   0.99,   1.06,   1.23
20120705,   0.21,  -0.16,   0.01,   0.15,  -0.24,  -0.94
20120706,  -0.93,  -0.85,  -0.62,  -1.43,  -1.11,  -0.98
20120709,  -0.17,  -0.32,  -0.23,  -0.41,  -0.37,  -0.85
20120710,  -1.68,  -0.95,  -0.58,  -1.12,  -1.14,  -1.02
20120711,  -0.24,  -0.14,   0.13,  -0.57,  -0.09,   0.52
20120712,  -0.04,  -0.32,  -0.55,  -0.30,  -0.35,  -1.04
20120713,   1.56,   1.15,   1.00,   1.55,   1.56,   1.88
20120716,  -0.36,  -0.66,  -0.54,  -0.42,  -0.53,  -0.47
20120717,  -0.03,   0.36,   0.13,   0.55,   0.72,   0.70
20120718,   0.80,   0.47,   0.16,   1.05,   0.93,   0.36
20120719,  -0.15,  -0.32,  -0.38,   0.56,   0.46,  -0.31
20120720,  -1.57,  -1.07,  -0.72,  -1.36,  -0.82,  -1.55
20120723,  -1.50,  -1.65,  -1.27,  -1.23,  -1.27,  -1.11
20120724,  -1.17,  -1.42,  -1.00,  -1.33,  -1.38,  -0.99
20120725,   0.60,   0.25,   0.23,   0.11,  -0.13,   0.05
20120726,   0.57,   0.73,   0.35,   1.62,   1.69,   1.90
20120727,   2.36,   2.35,   1.57,   2.19,   2.29,   2.13
20120730,  -1.05,  -0.46,  -0.31,  -0.50,  -0.32,  -0.14
20120731,  -0.44,  -0.25,  -0.18,  -0.78,  -0.74,  -0.19
20120801,  -2.20,  -1.90,  -1.28,  -0.91,  -0.61,  -0.41
20120802,  -0.33,  -0.23,  -0.44,  -0.38,  -0.82,  -1.18
20120803,   2.23,   2.36,   1.88,   2.05,   2.26,   2.35
20120806,   0.84,   0.96,   0.59,   0.52,   0.50,   0.59
20120807,   0.84,   0.68,   0.49,   1.22,   1.16,   1.26
20120808,  -0.67,  -0.41,   0.17,  -0.06,   0.21,   0.57
20120809,   0.47,   0.33,   0.62,   0.03,   0.37,   0.54
20120810,  -0.02,  -0.35,  -0.26,   0.18,   0.08,   0.27
20120813,  -0.15,  -0.11,  -0.07,  -0.19,  -0.33,  -0.15
20120814,  -0.77,  -0.46,  -0.54,  -0.11,  -0.21,  -0.10
20120815,   0.90,   0.97,   0.56,   0.55,   0.44,   0.44
20120816,   1.30,   1.20,   0.82,   0.83,   0.95,   0.74
20120817,   0.86,   0.81,   0.85,   0.34,   0.25,   0.44
20120820,  -0.35,  -0.45,  -0.07,  -0.44,  -0.25,   0.37
20120821,  -0.28,  -0.06,  -0.09,   0.01,  -0.12,  -0.03
20120822,  -0.27,  -0.49,  -0.36,   0.04,  -0.02,  -0.41
20120823,  -0.54,  -0.73,  -0.52,  -0.69,  -0.88,  -1.13
20120824,   0.48,   0.30,   0.55,   0.47,   0.44,   0.52
20120827,   0.05,   0.14,   0.03,  -0.15,  -0.15,  -0.20
20120828,   0.52,   0.45,   0.50,   0.16,   0.10,   0.09
20120829,   0.54,   0.20,   0.40,   0.19,   0.22,   0.43
20120830,  -1.03,  -1.14,  -0.88,  -0.83,  -0.75,  -0.69
20120831,   0.62,   0.50,   0.31,   0.59,   0.57,   0.54
20120904,   0.94,   0.68,   0.26,   0.51,   0.32,   0.18
20120905,  -0.14,  -0.12,   0.02,  -0.14,  -0.11,   0.18
20120906,   1.44,   1.88,   1.14,   2.10,   2.13,   2.29
20120907,   0.33,   0.60,   0.65,   0.59,   0.74,   1.06
20120910,  -0.18,  -0.28,  -0.07,  -0.42,  -0.48,  -0.57
20120911,   0.21,   0.37,   0.56,   0.14,   0.39,   0.69
20120912,   0.47,   0.69,   0.44,   0.23,   0.39,   0.58
20120913,   1.37,   1.70,   0.93,   1.10,   1.35,   1.58
20120914,   0.70,   0.98,   0.85,   0.81,   0.95,   1.43
20120917,  -0.30,  -0.33,  -0.21,  -0.56,  -0.99,  -1.36
20120918,   0.22,   0.04,   0.09,  -0.22,  -0.46,  -0.57
20120919,   0.22,   0.03,  -0.01,   0.25,   0.27,   0.28
20120920,  -0.22,  -0.40,  -0.33,  -0.52,  -0.24,  -0.48
20120921,   0.81,   0.63,   0.98,   0.01,   0.01,   0.00
20120924,  -0.72,  -0.18,  -0.22,  -0.57,  -0.37,  -0.22
20120925,  -1.36,  -1.20,  -0.89,  -1.29,  -1.39,  -1.83
20120926,  -0.69,  -0.39,  -0.36,  -0.63,  -0.66,  -0.58
20120927,   1.34,   1.07,   0.72,   1.08,   0.96,   1.13
20120928,  -0.25,  -0.65,  -0.53,  -0.27,  -0.28,  -0.52
20121001,  -0.02,   0.28,   0.52,   0.04,   0.01,   0.07
20121002,  -0.07,   0.00,   0.05,   0.14,   0.25,   0.43
20121003,   0.33,  -0.15,  -0.07,   0.30,   0.15,   0.11
20121004,   0.52,   0.61,   0.74,   0.76,   0.94,   1.41
20121005,  -0.57,  -0.25,  -0.08,   0.07,   0.01,   0.08
20121008,  -0.63,  -0.45,  -0.41,  -0.29,  -0.23,  -0.19
20121009,  -1.41,  -1.32,  -0.95,  -1.29,  -0.81,  -0.83
20121010,  -0.38,  -0.23,  -0.12,  -0.64,  -0.69,  -0.50
20121011,   0.60,   0.42,   0.49,   0.25,   0.51,   0.96
20121012,  -0.57,  -0.72,  -0.56,  -0.20,  -0.66,  -1.09
20121015,   0.64,   0.44,   0.50,   0.75,   0.73,   0.77
20121016,   0.59,   0.78,   0.59,   1.25,   1.04,   1.03
20121017,   0.26,   0.89,   0.61,   0.26,   0.78,   1.29
20121018,  -0.88,  -0.85,  -0.65,  -0.34,   0.13,  -0.07
20121019,  -2.31,  -2.04,  -1.18,  -1.73,  -1.52,  -1.32
20121022,  -0.55,  -0.15,   0.03,  -0.19,  -0.10,   0.05
20121023,  -0.45,  -0.66,  -0.40,  -0.76,  -1.14,  -1.44
20121024,  -0.52,   0.00,  -0.09,  -0.58,  -0.52,  -0.22
20121025,   0.45,   0.14,   0.19,   0.30,   0.28,   0.46
20121026,  -0.33,   0.05,  -0.13,   0.14,  -0.18,  -0.52
20121031,   0.30,   0.60,   0.78,   0.30,   0.41,   0.44
20121101,   0.66,   1.06,   0.85,   1.78,   1.77,   1.68
20121102,  -1.59,  -1.23,  -0.72,  -1.27,  -1.26,  -1.05
20121105,   0.69,   0.59,   0.44,   0.62,   0.46,   0.40
20121106,   0.32,   0.75,   0.71,   0.79,   1.01,   1.40
20121107,  -2.32,  -2.86,  -2.21,  -1.90,  -2.15,  -3.20
20121108,  -1.76,  -1.26,  -1.00,  -1.31,  -1.36,  -1.14
20121109,  -0.01,   0.14,  -0.07,   0.05,   0.02,   0.18
20121112,  -0.18,  -0.37,  -0.29,   0.10,  -0.14,   0.01
20121113,  -0.70,  -0.67,  -0.71,  -0.19,  -0.35,  -0.65
20121114,  -2.09,  -1.68,  -1.27,  -1.52,  -1.44,  -1.68
20121115,  -0.97,  -0.79,  -0.65,  -0.14,  -0.26,   0.04
20121116,   0.35,   0.32,   0.21,   0.81,   0.68,   0.54
20121119,   2.31,   2.24,   1.53,   1.97,   1.83,   1.91
20121120,   0.05,  -0.04,   0.22,   0.16,  -0.01,   0.30
20121121,   0.84,   0.71,   0.64,   0.45,   0.36,   0.36
20121123,   1.21,   0.98,   0.92,   1.24,   1.21,   1.33
20121126,   0.53,   0.49,   0.37,  -0.22,  -0.21,  -0.25
20121127,   0.42,  -0.12,  -0.06,  -0.28,  -0.27,  -0.46
20121128,   0.87,   0.64,   0.52,   0.76,   0.85,   0.72
20121129,   1.33,   1.39,   1.14,   0.59,   0.65,   0.46
20121130,  -0.09,  -0.08,   0.11,  -0.03,   0.23,   0.20
20121203,  -0.49,  -0.26,   0.19,  -0.47,  -0.38,  -0.42
20121204,  -0.09,   0.01,  -0.08,  -0.05,   0.02,  -0.16
20121205,  -0.59,  -0.16,  -0.14,   0.14,   0.66,   0.67
20121206,   0.17,  -0.09,   0.02,   0.35,   0.24,   0.34
20121207,   0.52,  -0.02,  -0.08,   0.22,   0.41,   0.54
20121210,   0.48,   0.43,   0.26,   0.34,   0.36,   0.37
20121211,   1.64,   1.03,   0.94,   0.76,   0.43,   0.59
20121212,  -0.39,  -0.47,  -0.30,  -0.04,  -0.01,   0.27
20121213,  -0.59,  -0.50,  -0.08,  -0.59,  -0.57,  -0.55
20121214,  -0.01,   0.07,   0.26,  -0.23,  -0.30,  -0.17
20121217,   0.99,   1.12,   0.99,   1.04,   1.19,   1.43
20121218,   1.62,   1.37,   0.95,   1.33,   1.41,   1.56
20121219,  -0.26,   0.06,   0.18,  -0.28,  -0.27,  -0.55
20121220,   0.10,   0.72,   0.57,   0.39,   0.48,   1.09
20121221,  -0.52,  -0.53,  -0.46,  -0.75,  -0.93,  -1.22
20121224,  -0.26,  -0.44,  -0.36,  -0.19,  -0.26,  -0.25
20121226,  -0.83,  -0.35,  -0.47,  -0.82,  -0.64,  -0.44
20121227,  -0.38,  -0.31,  -0.26,   0.04,  -0.19,  -0.24
20121228,  -0.49,  -0.50,  -0.35,  -0.84,  -0.92,  -0.90
20121231,   2.03,   2.00,   1.69,   1.80,   1.93,   1.66
20130102,   2.82,   3.05,   2.72,   2.55,   2.29,   2.86
20130103,   0.19,  -0.04,   0.10,   0.00,   0.07,   0.17
20130104,   1.10,   0.90,   0.68,   0.61,   0.80,   1.16
20130107,   0.01,  -0.36,  -0.09,  -0.20,  -0.41,  -0.54
20130108,   0.09,  -0.16,   0.04,  -0.29,  -0.34,  -0.51
20130109,   0.64,   0.61,   0.43,   0.52,   0.40,   0.30
20130110,   0.11,   0.31,   0.29,   0.28,   0.48,   0.87
20130111,   0.44,   0.13,   0.15,   0.08,  -0.04,  -0.16
20130114,  -0.06,  -0.05,   0.12,   0.11,   0.07,  -0.03
20130115,   0.31,   0.18,   0.23,   0.41,   0.53,   0.53
20130116,  -0.54,  -0.39,  -0.09,  -0.23,  -0.21,  -0.03
20130117,   0.59,   0.93,   0.84,   0.76,   1.00,   0.88
20130118,   0.09,   0.26,   0.38,   0.20,   0.35,   0.32
20130122,   0.58,   0.74,   0.88,   0.34,   0.73,   1.12
20130123,  -0.22,  -0.25,  -0.05,  -0.15,  -0.04,   0.04
20130124,   0.57,   0.36,   0.31,   0.49,   0.29,   0.29
20130125,   0.40,   0.25,   0.01,   0.97,   0.81,   0.63
20130128,   0.16,   0.46,   0.49,  -0.28,  -0.24,  -0.01
20130129,   0.10,   0.29,   0.61,   0.02,   0.28,   0.46
20130130,  -1.07,  -0.95,  -0.50,  -0.39,  -0.42,  -0.25
20130131,   0.62,   0.70,   0.47,   0.30,   0.03,   0.29
20130201,   0.97,   1.10,   1.08,   0.96,   0.70,   0.97
20130204,  -1.02,  -1.52,  -0.93,  -1.08,  -1.05,  -1.09
20130205,   1.15,   0.87,   0.75,   0.97,   0.98,   1.16
20130206,   0.23,   0.42,   0.41,   0.24,   0.33,   0.54
20130207,  -0.49,  -0.25,   0.01,  -0.29,   0.02,  -0.03
20130208,   0.37,   0.59,   0.24,   0.56,   0.72,   0.73
20130211,   0.11,  -0.02,   0.30,  -0.27,  -0.08,   0.11
20130212,   0.25,   0.41,   0.70,   0.08,   0.41,   0.54
20130213,  -0.25,   0.28,   0.34,   0.13,   0.26,   0.28
20130214,   0.35,   0.26,   0.25,   0.21,   0.39,   0.40
20130215,  -0.24,  -0.08,   0.13,  -0.03,  -0.07,  -0.34
20130219,   0.89,   1.09,   0.67,   0.61,   0.78,   0.90
20130220,  -1.44,  -1.68,  -1.48,  -1.46,  -1.82,  -1.99
20130221,  -0.60,  -0.77,  -0.48,  -0.95,  -0.74,  -0.91
20130222,   1.01,   0.93,   0.70,   1.02,   0.84,   1.21
20130225,  -2.14,  -2.13,  -1.64,  -1.69,  -2.05,  -2.40
20130226,   0.32,   0.51,   0.53,   0.47,   0.61,   0.49
20130227,   0.92,   0.63,   0.57,   1.47,   1.45,   1.46
20130228,   0.13,  -0.13,  -0.07,   0.07,   0.00,  -0.03
20130301,   0.66,   0.16,   0.26,   0.13,   0.02,  -0.07
20130304,   0.15,   0.16,   0.22,   0.37,   0.35,   0.46
20130305,   1.15,   0.80,   0.60,   1.14,   1.14,   1.13
20130306,   0.22,   0.49,   0.27,   0.22,   0.18,   0.55
20130307,   0.93,   0.58,   0.50,   0.23,   0.35,   0.73
20130308,   1.11,   0.77,   0.78,   0.77,   0.82,   0.79
20130311,   0.25,   0.15,   0.32,   0.20,   0.24,   0.56
20130312,  -0.05,  -0.22,  -0.06,  -0.16,   0.00,  -0.15
20130313,   0.08,   0.47,   0.10,   0.36,   0.37,   0.32
20130314,   0.53,   1.10,   0.66,   0.47,   0.69,   0.76
20130315,  -0.10,  -0.10,  -0.06,  -0.43,  -0.03,  -0.06
20130318,  -0.42,  -0.38,  -0.19,  -0.50,  -0.47,  -0.66
20130319,  -0.70,  -0.29,  -0.19,  -0.35,  -0.45,  -0.43
20130320,   0.84,   0.70,   0.76,   1.03,   0.90,   0.86
20130321,  -0.52,  -0.75,  -0.44,  -0.86,  -0.93,  -0.99
20130322,   0.36,   0.17,   0.18,   0.49,   0.35,   0.35
20130325,  -0.05,   0.07,   0.11,  -0.30,  -0.30,  -0.24
20130326,   0.12,   0.18,   0.15,   0.70,   0.66,   0.65
20130327,  -0.06,   0.13,  -0.10,   0.10,   0.09,  -0.02
20130328,   0.60,   0.20,   0.16,   0.64,   0.53,   0.43
20130401,  -1.07,  -1.38,  -0.82,  -0.88,  -0.83,  -0.89
20130402,  -0.43,  -0.42,  -0.39,   0.04,  -0.25,  -0.39
20130403,  -1.54,  -1.46,  -0.96,  -1.48,  -1.32,  -1.37
20130404,   0.47,   0.48,   0.45,   0.48,   0.50,   0.59
20130405,  -0.34,  -0.27,  -0.12,  -0.44,  -0.07,  -0.32
20130408,   0.46,   0.33,   0.45,   0.73,   0.93,   0.85
20130409,  -0.04,  -0.12,  -0.18,   0.26,   0.14,   0.41
20130410,   1.96,   1.77,   1.37,   1.40,   1.14,   1.29
20130411,   0.17,  -0.10,  -0.04,   0.48,   0.42,   0.27
20130412,  -0.22,  -0.46,  -0.29,  -0.34,  -0.52,  -0.62
20130415,  -3.62,  -3.44,  -3.00,  -2.84,  -3.20,  -2.95
20130416,   1.46,   1.41,   1.14,   1.63,   1.46,   1.59
20130417,  -1.34,  -1.84,  -1.42,  -1.46,  -1.65,  -1.84
20130418,  -0.40,  -0.12,  -0.30,  -0.69,  -0.54,  -0.72
20130419,   1.03,   0.94,   0.77,   1.02,   0.86,   1.09
20130422,   0.08,   0.23,   0.19,   0.47,   0.43,   0.22
20130423,   1.73,   1.54,   1.42,   1.09,   0.97,   1.47
20130424,   0.02,   0.67,   0.44,  -0.02,   0.62,   1.02
20130425,   0.96,   0.75,   0.50,   0.89,   0.80,   0.44
20130426,  -0.11,  -0.56,  -0.45,  -0.42,  -0.23,  -0.61
20130429,   0.76,   0.76,   0.64,   0.63,   0.77,   0.72
20130430,   0.20,   0.48,   0.36,   0.39,   0.54,   0.50
20130501,  -2.51,  -2.36,  -1.75,  -1.26,  -1.35,  -1.46
20130502,   1.32,   1.45,   1.26,   1.09,   1.09,   1.05
20130503,   1.54,   1.64,   1.29,   1.15,   1.34,   1.35
20130506,   0.48,   0.39,   0.87,   0.24,   0.45,   0.66
20130507,   0.54,   0.75,   0.40,   0.76,   0.72,   0.63
20130508,   0.29,   0.36,   0.31,   0.57,   0.57,   0.71
20130509,  -0.32,  -0.02,  -0.31,  -0.20,  -0.49,  -0.41
20130510,   0.78,   0.78,   0.70,   0.92,   0.65,   0.49
20130513,   0.20,  -0.34,   0.08,  -0.17,  -0.32,  -0.10
20130514,   1.11,   1.25,   0.83,   1.28,   1.09,   1.23
20130515,   0.19,   0.31,   0.44,   0.35,   0.47,   0.53
20130516,  -0.24,  -0.27,  -0.42,  -0.54,  -0.49,  -0.70
20130517,   0.86,   0.97,   0.79,   0.98,   1.22,   1.25
20130520,   0.14,   0.28,   0.63,  -0.01,   0.08,   0.30
20130521,   0.25,   0.21,   0.25,   0.26,   0.04,   0.06
20130522,  -1.29,  -1.17,  -0.94,  -1.26,  -1.19,  -1.43
20130523,   0.58,   0.12,   0.21,  -0.03,  -0.01,  -0.06
20130524,  -0.02,   0.26,   0.41,  -0.28,  -0.38,  -0.34
20130528,   1.38,   1.40,   0.93,   0.86,   0.69,   1.01
20130529,  -0.69,  -0.85,  -0.58,  -0.91,  -0.87,  -0.09
20130530,   1.10,   0.73,   0.66,   0.56,   0.61,   1.10
20130531,  -0.57,  -0.86,  -0.66,  -1.10,  -1.12,  -1.18
20130603,   0.44,   1.24,   0.63,   0.00,   0.08,  -0.09
20130604,  -0.89,  -0.78,  -0.56,  -0.53,  -0.57,  -0.64
20130605,  -1.51,  -1.12,  -0.86,  -1.38,  -1.36,  -1.58
20130606,   1.24,   0.89,   0.61,   0.89,   1.01,   1.14
20130607,   0.68,   0.51,   0.27,   1.32,   1.12,   1.45
20130610,   0.92,   0.86,   0.87,  -0.04,  -0.03,   0.31
20130611,  -0.72,  -0.97,  -0.68,  -0.93,  -1.06,  -1.43
20130612,  -0.88,  -0.56,  -0.50,  -0.79,  -1.01,  -0.90
20130613,   1.14,   1.48,   1.02,   1.50,   1.90,   1.74
20130614,  -0.80,  -0.90,  -0.79,  -0.47,  -0.46,  -0.84
20130617,   0.41,   0.63,   0.43,   0.68,   0.71,   0.62
20130618,   1.09,   1.04,   0.79,   0.79,   0.80,   0.79
20130619,  -0.96,  -0.93,  -0.63,  -1.24,  -1.30,  -1.26
20130620,  -2.46,  -2.07,  -1.61,  -2.58,  -2.63,  -2.03
20130621,   0.33,   0.65,   0.75,  -0.04,  -0.01,  -0.12
20130624,  -1.35,  -1.38,  -1.45,  -1.11,  -1.19,  -1.64
20130625,   0.76,   0.93,   0.93,   0.92,   1.12,   1.59
20130626,   0.21,  -0.06,   0.04,   0.89,   0.68,   0.86
20130627,   1.32,   1.61,   1.22,   0.98,   1.14,   1.29
20130628,   0.04,  -0.09,   0.06,  -0.22,  -0.12,  -0.27
20130701,   1.37,   1.20,   1.16,   1.24,   0.70,   0.97
20130702,  -0.15,  -0.20,  -0.03,  -0.28,  -0.26,  -0.01
20130703,   0.25,   0.26,   0.26,   0.16,   0.03,  -0.25
20130705,   1.30,   1.40,   1.05,   1.29,   1.08,   1.62
20130708,   0.49,   0.55,   0.37,   0.40,   0.44,   0.38
20130709,   0.20,   0.73,   0.54,   0.73,   1.06,   0.78
20130710,   0.58,   0.41,   0.46,   0.29,   0.09,  -0.13
20130711,   1.40,   0.95,   0.71,   1.49,   1.37,   0.90
20130712,   0.49,   0.15,   0.26,   0.45,   0.30,   0.57
20130715,   0.95,   0.69,   0.82,   0.08,   0.13,   0.53
20130716,  -0.24,  -0.09,   0.00,  -0.62,  -0.63,  -0.59
20130717,   0.32,   0.28,   0.39,   0.33,   0.35,   0.39
20130718,   0.26,   0.51,   0.80,   0.49,   0.89,   1.26
20130719,  -0.17,   0.14,   0.11,   0.12,   0.29,   0.05
20130722,   0.46,   0.32,   0.46,   0.17,   0.22,   0.50
20130723,  -0.20,   0.00,   0.21,  -0.32,   0.12,  -0.07
20130724,  -0.75,  -0.41,  -0.31,  -0.50,  -0.77,  -0.60
20130725,   1.07,   0.93,   0.76,   0.84,   0.25,   0.43
20130726,  -0.16,  -0.63,  -0.33,  -0.20,  -0.23,   0.10
20130729,  -0.38,  -0.44,  -0.45,  -0.37,  -0.31,  -0.55
20130730,   0.30,   0.15,  -0.06,   0.50,   0.17,   0.13
20130731,   0.28,   0.27,   0.25,   0.48,   0.41,   0.27
20130801,   1.50,   1.08,   0.93,   1.98,   1.81,   1.82
20130802,   0.14,  -0.12,  -0.09,   0.22,   0.02,  -0.10
20130805,   0.86,   0.43,   0.41,  -0.01,  -0.13,   0.01
20130806,  -0.89,  -0.83,  -0.38,  -0.77,  -0.86,  -1.10
20130807,  -0.95,  -0.56,  -0.49,  -0.69,  -0.55,  -0.63
20130808,   0.10,   0.26,   0.32,   0.62,   0.79,   0.69
20130809,  -0.48,  -0.37,  -0.25,  -0.03,  -0.02,  -0.04
20130812,   0.23,   0.47,   0.27,   0.04,   0.09,  -0.05
20130813,   0.14,  -0.04,  -0.23,   0.07,   0.12,   0.14
20130814,  -0.33,  -0.41,  -0.08,  -0.57,  -0.52,  -0.08
20130815,  -1.74,  -1.55,  -1.35,  -1.65,  -1.42,  -1.34
20130816,  -0.10,  -0.12,  -0.07,  -0.34,  -0.24,  -0.11
20130819,  -0.98,  -0.89,  -0.76,  -0.52,  -0.80,  -1.28
20130820,   1.40,   1.20,   0.86,   0.85,   0.92,   1.01
20130821,  -0.31,  -0.51,  -0.34,  -0.57,  -0.74,  -0.79
20130822,   1.34,   1.37,   1.17,   1.10,   1.17,   1.20
20130823,   0.37,   0.22,   0.06,   0.25,   0.25,   0.15
20130826,   0.44,   0.02,   0.10,  -0.01,  -0.22,  -0.43
20130827,  -2.53,  -2.07,  -1.88,  -1.93,  -1.81,  -2.32
20130828,   0.34,   0.49,   0.50,   0.21,   0.25,   0.32
20130829,   1.30,   0.86,   0.75,   0.60,   0.33,   0.23
20130830,  -1.08,  -1.27,  -1.23,  -0.73,  -0.83,  -0.72
20130903,   0.73,   0.40,   0.51,   0.51,   0.29,   0.57
20130904,   0.88,   0.71,   0.52,   0.94,   0.90,   0.96
20130905,   0.33,   0.54,   0.45,   0.38,   0.21,   0.62
20130906,  -0.03,   0.19,   0.32,   0.11,   0.09,  -0.13
20130909,   1.64,   1.39,   0.92,   1.38,   1.47,   1.16
20130910,   0.52,   0.73,   0.61,   1.05,   0.80,   0.88
20130911,  -0.03,   0.07,   0.03,   0.25,   0.15,   0.22
20130912,  -0.50,  -0.54,  -0.21,  -0.27,  -0.40,  -0.61
20130913,   0.50,   0.47,   0.50,   0.27,   0.31,   0.26
20130916,  -0.05,   0.14,   0.11,   0.58,   0.62,   0.61
20130917,   0.99,   0.72,   0.58,   0.63,   0.59,   0.83
20130918,   0.72,   0.91,   0.54,   1.10,   1.14,   0.43
20130919,   0.01,  -0.02,  -0.18,   0.05,  -0.25,  -0.72
20130920,  -0.15,   0.10,   0.51,  -0.72,  -0.82,  -0.61
20130923,  -0.27,  -0.03,  -0.23,  -0.64,  -0.32,  -0.53
20130924,   0.22,   0.36,   0.54,  -0.03,   0.24,   0.26
20130925,   0.00,  -0.04,   0.06,  -0.26,  -0.02,   0.36
20130926,   0.82,   0.48,   0.22,   0.58,   0.34,   0.12
20130927,  -0.16,  -0.24,  -0.25,  -0.35,  -0.36,  -0.49
20130930,  -0.23,  -0.02,   0.01,  -0.25,  -0.23,  -0.31
